Byte	Correlation Strength
109	0.8963970822226756
110	0.8706224919957982
111	0.8973177653804014
112	0.8847192768407819
113	0.8834807864674096
114	0.8844277334801487
115	0.8871322074325744
116	0.8920794029040445
117	0.8852369445753189
118	0.8899202292766831
119	0.881305651326972
120	0.9003823691167674
121	0.8813435113665048
122	0.8919048936821808
123	0.889566950036023
124	0.8785721330368131
125	0.8904799372142519
126	0.8698160130336235
127	0.8852405853781339
128	0.9757911368078177
129	0.9122736734641531
130	0.901656390971851
131	0.9040264876171129
132	0.9093230798660201
133	0.9096679411781737
134	0.9070275703848868
135	0.891425272834046
136	0.9146423298185229
137	0.9126513913729831
138	0.899592603292775
139	0.8935120652871781
140	0.9043056854562699
141	0.9025032209940268
142	0.8953898262916763
143	0.8906144084797708
144	0.9212202169619634
145	0.9141110847527409
146	0.9064190145115916
147	0.9060424982584544
148	0.915294537305761
149	0.8842644062742386
150	0.905930212364896
151	0.9002488038760917
152	0.9069464206792376
153	0.8982245182494522
154	0.9099838718724734
155	0.9014369872260931
156	0.8956989776272084
157	0.8948874911575618
158	0.8972102679254506
159	0.8904489156737855
160	0.8967721806609333
161	0.9107147042343358
162	0.8989236872872488
163	0.8941291837780705
164	0.9036396173511886
165	0.894072613241101
166	0.884865614912984
167	0.8845112280819943
168	0.8984905881003837
169	0.8935648924887142
170	0.8997542885047056
171	0.8866546476659045
172	0.894136825302072
173	0.8926271851934678
174	0.9104879060672887
175	0.8890777955997242
176	0.8992491033738103
177	0.89356587808455
178	0.8985218630690928
179	0.88939470276905
180	0.9029901671446042
181	0.8928305888159822
182	0.8904915475881046
183	0.8826426819174665
184	0.9020785634620285
185	0.8940302849116558
186	0.8870186709847189
187	0.8927058034631408
188	0.8788633631720008
189	0.8856441772627575
190	0.9038800105219192
191	0.8799279075708859
192	0.9155179418242078
193	0.8952794731553236
194	0.9093549840021798
195	0.9108998518855089
196	0.9226063967734096
197	0.8936468517679627
198	0.9185835435197224
199	0.8958276500157131
200	0.9052876186976414
201	0.8998517388774322
202	0.903821158811008
203	0.8974107816295177
204	0.9015333999722767
205	0.8955968383170928
206	0.900027265054771
207	0.8917446631136526
208	0.910233010972485
209	0.9032786241279663
210	0.8951823325496547
211	0.9019717424693504
212	0.9068129425535897
213	0.8838318874133378
214	0.8923733236668968
215	0.8864656108883259
216	0.9062562790011844
217	0.8733940412815709
218	0.8914429610167219
219	0.8873296072858832
220	0.8898229314017877
221	0.8903298517420976
222	0.8852964408661198
223	0.8821208588773306
224	0.9035210702169677
225	0.9021388025722424
226	0.9048322274575562
227	0.8957117211428378
228	0.8839251682340419
229	0.9054151319802518
230	0.8912239639413609
231	0.8862210466483992
232	0.903274362581691
233	0.8893386005672959
234	0.8846578600261932
235	0.8815324679645359
236	0.907474005387365
237	0.9047112611076074
238	0.8991181603739467
239	0.8846577077256709
240	0.8987099636919457
241	0.8939677352645212
242	0.9039665257465307
243	0.8945237386213859
244	0.9047284207324378
245	0.8996538971152143
246	0.8981743210210293
247	0.8817541822546259
248	0.910141476958934
249	0.8913138869860746
250	0.8886269658389727
251	0.8837898101445019
252	0.8772916467779953
253	0.9047130592145113
254	0.8914183912491591
255	0.8689768796843436
